102,12.44,12.44,1.73,0,2.04,4.08,8.16,1.83,0.21,1.69,0.35,1.44,0.6,1.38,0.66
104,12.68,12.68,1.76,0,2.08,4.16,8.32,1.87,0.21,1.73,0.35,1.48,0.6,1.42,0.66
106,12.93,12.93,1.8,0,2.12,4.24,8.48,1.91,0.21,1.77,0.35,1.52,0.6,1.46,0.66
108,13.17,13.17,1.83,0,2.16,4.32,8.64,1.95,0.21,1.81,0.35,1.56,0.6,1.5,0.66
110,13.42,13.42,1.87,0,2.2,4.4,8.8,1.99,0.21,1.85,0.35,1.6,0.6,1.54,0.66
112,13.66,13.66,1.9,0,2.24,4.48,8.96,2.03,0.21,1.89,0.35,1.64,0.6,1.58,0.66
114,13.9,13.9,1.93,0,2.28,4.56,9.12,2.07,0.21,1.93,0.35,1.68,0.6,1.62,0.66
116,14.15,14.15,1.97,0,2.32,4.64,9.28,2.11,0.21,1.97,0.35,1.72,0.6,1.66,0.66
118,14.39,14.39,2,0,2.36,4.72,9.44,2.15,0.21,2.01,0.35,1.76,0.6,1.7,0.66
120,14.64,14.64,2.04,0,2.4,4.8,9.6,2.19,0.21,2.05,0.35,1.8,0.6,1.74,0.66
122,14.88,14.88,2.07,0,2.44,4.88,9.76,2.23,0.21,2.09,0.35,1.84,0.6,1.78,0.66
124,15.12,15.12,2.1,0,2.48,4.96,9.92,2.27,0.21,2.13,0.35,1.88,0.6,1.82,0.66
126,15.37,15.37,2.14,0,2.52,5.04,10.08,2.31,0.21,2.17,0.35,1.92,0.6,1.86,0.66
128,15.61,15.61,2.17,0,2.56,5.12,10.24,2.35,0.21,2.21,0.35,1.96,0.6,1.9,0.66
130,15.86,15.86,2.21,0,2.6,5.2,10.4,2.39,0.21,2.25,0.35,2,0.6,1.94,0.66
132,16.1,16.1,2.24,0,2.64,5.28,10.56,2.43,0.21,2.29,0.35,2.04,0.6,1.98,0.66
134,16.34,16.34,2.27,0,2.68,5.36,10.72,2.47,0.21,2.33,0.35,2.08,0.6,2.02,0.66
136,16.59,16.59,2.31,0,2.72,5.44,10.88,2.51,0.21,2.37,0.35,2.12,0.6,2.06,0.66
138,16.83,16.83,2.34,0,2.76,5.52,11.04,2.55,0.21,2.41,0.35,2.16,0.6,2.1,0.66
140,17.08,17.08,2.38,0,2.8,5.6,11.2,2.59,0.21,2.45,0.35,2.2,0.6,2.14,0.66
